ID,Crash ID,crash_fatal_fl,case_id,rpt_block_num,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,point,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,pedestrian_death_count,pedestrian_serious_injury_count,motorcycle_death_count,motorcycle_serious_injury_count,other_death_count,other_serious_injury_count,onsys_fl,private_dr_fl,micromobility_serious_injury_count,micromobility_death_count,Crash timestamp (US/Central),Crash_year,Crash timestamp,Is deleted,Is temporary record,Law enforcement fatality count,Reported street prefix,Estimated Maximum Comprehensive Cost,Estimated Total Comprehensive Cost,Location ID,Location group,Address
1786931,21106604,FALSE,253020728,2200,N IH 35 SB,,60,FALSE,,,0,0,0,0,1,1,0,0,Large passenger vehicle & Passenger car,,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,10/29/2025 12:10,2025,10/29/2025 17:10,FALSE,FALSE,0,,20000,40000,,,2200 IH 35 SVRD
1348924,20595169,FALSE,250020477,5300,PARMER LN,,55,FALSE,30.37007507,-97.620527,5,0,0,0,4,0,0,0,Passenger car,POINT (-97.620527 30.37007507),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,1/2/2025 10:59,2025,1/2/2025 16:59,FALSE,FALSE,0,,20000,80000,E3A91D2A5E,1,PARMER LN & E PARMER LN
1350123,20616136,FALSE,250101067,4900,RESEARCH BLVD SB,BLVD,35,TRUE,30.41969393,-97.74715686,5,0,0,0,4,0,0,0,Passenger car,POINT (-97.74715686 30.41969393),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,1/10/2025 18:47,2025,1/11/2025 0:47,FALSE,FALSE,0,,20000,80000,CAD62F6CAA,1,4900 RESEARCH BLVD SB BLVD
1351653,20633382,FALSE,250310677,1100,N PLEASANT VALLEY RD,,35,FALSE,30.26908478,-97.71184247,2,0,2,0,1,0,2,0,Passenger car,POINT (-97.71184247 30.26908478),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,1/31/2025 11:34,2025,1/31/2025 17:34,FALSE,FALSE,0,,250000,520000,023ABF6629,1,N PLEASANT VALLEY RD & HARGRAVE ST
1351487,20629805,FALSE,250290445,7700,MOPAC,EXPY,65,FALSE,30.34903459,-97.74962519,2,0,1,0,1,0,1,0,Passenger car,POINT (-97.74962519 30.34903459),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,1/29/2025 9:48,2025,1/29/2025 15:48,FALSE,FALSE,0,,250000,270000,BDEC9DA64E4,2,7700 N LOOP 1
1350742,20625695,FALSE,250260131,500,BRAZOS ST,ST,35,FALSE,30.267533683157566,-97.74149322,2,0,1,0,1,0,1,0,Passenger car & Pedestrian,POINT (-97.7414932186722 30.267533683157566),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,1/26/2025 1:27,2025,1/26/2025 7:27,FALSE,FALSE,0,,250000,270000,DBC53D9B8F,1,500 BRAZOS ST
1348655,20595158,FALSE,250011288,9300,IH 35,HWY,60,TRUE,30.16354977,-97.78792408,5,0,0,0,2,0,0,0,Large passenger vehicle,POINT (-97.78792408 30.16354977),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,1/1/2025 17:12,2025,1/1/2025 23:12,FALSE,FALSE,0,,20000,40000,35A1E7AF574,2,9300 S IH 35
1352265,20644341,FALSE,250380353,7400,IH 35,HWY,50,TRUE,30.18163361,-97.77665517,3,0,0,1,2,0,1,0,Large passenger vehicle & Passenger car,POINT (-97.77665517 30.18163361),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2/7/2025 6:21,2025,2/7/2025 12:21,FALSE,FALSE,0,,200000,240000,0871D23F7F1,2,7400 S IH 35
1350174,20615983,FALSE,250180246,311,W ANNIE ST,ST,35,FALSE,30.24681001,-97.75374286,5,0,0,0,1,0,0,0,Large passenger vehicle,POINT (-97.75374286 30.24681001),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,1/18/2025 2:45,2025,1/18/2025 8:45,FALSE,FALSE,0,,20000,20000,9FED77C922,1,311 W ANNIE ST
1351879,20633183,FALSE,250300470,13600,N SH 45 W WB,HWY,75,FALSE,30.4723531,-97.78529561,3,0,0,1,2,0,1,0,Large passenger vehicle & Other/Unknown & Passenger car,POINT (-97.78529561 30.4723531),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,1/30/2025 8:44,2025,1/30/2025 14:44,FALSE,FALSE,0,,200000,240000,6DEA48D530B,2,13600 N STATE HIGHWAY 45
1350488,20619015,FALSE,250220380,5000,W US 290 SVRD,,45,FALSE,30.23522953,-97.82370472,2,0,1,0,1,0,1,0,Passenger car,POINT (-97.82370472 30.23522953),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,1/22/2025 9:07,2025,1/22/2025 15:07,FALSE,FALSE,0,,250000,270000,2BE467A5E6,1,5000 US 290 SVRD
