month,predicted_cost
2026-01,194783.03
2026-01,342239.33
2026-01,308579.31
2026-01,258033.51
2026-01,215093.62
2026-01,285269.35
2026-01,287536.03
2026-01,300154.33
2026-01,329782.17
2026-01,262642.6
2026-01,225815.8
2026-01,240898.95
2026-01,213546.04
2026-01,305672.33
2026-01,207736.66
2026-01,275238.01
2026-01,426792.51
2026-01,268263.21
2026-01,268072.6
2026-01,214729.56
2026-01,270814.06
2026-01,318296.77
2026-01,375786.19
2026-01,288374.25
2026-01,310583.43
2026-01,266583.59
2026-01,217171.22
2026-01,311299.59
2026-01,554241.69
2026-01,268807.51
2026-01,291997.68
2026-01,269890.92
2026-01,302676.53
2026-01,250696.56
2026-01,256096.54
2026-01,405752.94
2026-01,331124.04
2026-01,288953.01
2026-01,337945.42
2026-01,213178.49
2026-01,279167.85
2026-01,309529.48
2026-01,1333377.53
2026-01,426792.51
2026-01,269976.59
2026-01,293843.85
2026-01,257926.33
2026-01,245207.49
2026-01,309744.21
2026-01,280640.71
2026-01,211370.68
2026-01,227115.96
2026-01,309529.48
2026-01,281458.7
2026-01,271966.32
2026-01,268576.65
2026-01,1322768.3
2026-01,259330.44
2026-01,1022039.94
2026-01,254450.2
2026-01,217862.84
2026-01,286493.64
2026-01,286793.96
2026-01,199261.19
2026-01,259612.9
2026-01,239950.29
2026-01,216029.71
2026-01,341301.62
2026-01,268423.04
2026-01,209158.98
2026-01,1322768.3
2026-01,321212.57
2026-01,996457.85
2026-01,229658.82
2026-01,268576.65
2026-01,217355.06
2026-01,278581.23
2026-01,359836.47
2026-01,197780.67
2026-01,419878.75
2026-01,210755.92
2026-01,284261.77
2026-01,216013.45
2026-01,263480.48
2026-01,274164.12
2026-01,266575.48
2026-01,329540.82
2026-01,228139.54
2026-01,282235.18
2026-01,252596.39
2026-01,259069.76
2026-01,266541.04
2026-01,302021.35
2026-01,262266.81
2026-01,280033.17
2026-01,315698.16
2026-01,228936.0
2026-01,226935.95
2026-01,242823.02
2026-01,207627.24
2026-01,220332.49
2026-01,231764.02
2026-01,275139.75
2026-01,798776.83
2026-01,306168.5
2026-01,288087.17
2026-01,213954.32
2026-01,212978.0
2026-01,271303.66
2026-01,208231.7
2026-01,261607.4
2026-01,197122.34
2026-01,269650.93
2026-01,323480.66
2026-01,211007.63
2026-01,225904.61
2026-01,295738.55
2026-01,855838.57
2026-01,262009.86
2026-01,255448.35
2026-01,213101.65
2026-01,265479.43
2026-01,229217.96
2026-01,216160.4
2026-01,224893.44
2026-01,303338.83
2026-01,264060.71
2026-01,902717.22
2026-01,240610.79
2026-01,210913.81
2026-01,286230.33
2026-01,214176.71
2026-01,228084.3
2026-01,216149.34
2026-01,281607.5
2026-01,261786.16
2026-01,259607.67
2026-01,200461.66
2026-01,257274.35
2026-01,296476.54
2026-01,221372.04
2026-01,354326.04
2026-01,273771.57
2026-01,996457.85
2026-01,261825.14
2026-01,273261.04
2026-01,288041.63
2026-01,329798.55
2026-01,283059.29
2026-01,313067.47
2026-01,248220.53
2026-01,268576.65
2026-01,267296.18
2026-01,284469.16
2026-01,210049.03
2026-01,203823.74
2026-01,248202.99
2026-01,269111.31
2026-01,211356.68
2026-01,207492.7
2026-01,260640.83
2026-01,702711.92
2026-01,214012.84
2026-01,351873.94
2026-01,208988.64
2026-01,604223.26
2026-01,835648.33
2026-01,373840.71
2026-01,255124.07
2026-01,217308.98
2026-01,274583.39
2026-01,326087.98
2026-01,331837.0
2026-01,218268.56
2026-01,207444.08
2026-01,224432.03
2026-01,222008.97
2026-01,217214.46
