MFACTOR|MFACTORNAME|ST_CASE|VEH_NO|STATE|YEAR|VEHICLECC
0|None|480001|1|48|2017|
1|Tires|480002|1|48|2017|
0|None|480003|1|48|2017|
0|None|480004|1|48|2017|
0|None|480005|1|48|2017|
0|None|480006|1|48|2017|
0|None|480007|1|48|2017|
0|None|480007|2|48|2017|
0|None|480008|1|48|2017|
0|None|480009|1|48|2017|
0|None|480010|1|48|2017|
0|None|480011|1|48|2017|
0|None|480012|1|48|2017|
0|None|480012|2|48|2017|
0|None|480013|1|48|2017|
0|None|480014|1|48|2017|
0|None|480014|2|48|2017|
0|None|480015|1|48|2017|
0|None|480015|2|48|2017|
0|None|480016|1|48|2017|
0|None|480016|2|48|2017|
0|None|480017|1|48|2017|
0|None|480018|1|48|2017|
99|Unknown|480019|1|48|2017|
0|None|480020|1|48|2017|
1|Tires|480020|2|48|2017|
0|None|480021|1|48|2017|
0|None|480022|1|48|2017|
0|None|480023|1|48|2017|
0|None|480023|2|48|2017|
0|None|480024|1|48|2017|
0|None|480025|1|48|2017|
0|None|480027|1|48|2017|
0|None|480027|2|48|2017|
0|None|480028|1|48|2017|
0|None|480028|2|48|2017|
0|None|480030|1|48|2017|
0|None|480030|2|48|2017|
0|None|480031|1|48|2017|
0|None|480032|1|48|2017|
0|None|480034|1|48|2017|
0|None|480035|1|48|2017|
0|None|480035|2|48|2017|
0|None|480036|1|48|2017|
0|None|480036|2|48|2017|
0|None|480037|1|48|2017|
0|None|480037|2|48|2017|
0|None|480038|1|48|2017|
0|None|480038|2|48|2017|
0|None|480038|3|48|2017|
0|None|480038|4|48|2017|
0|None|480039|1|48|2017|
0|None|480039|2|48|2017|
0|None|480040|1|48|2017|
0|None|480040|2|48|2017|
0|None|480041|1|48|2017|
0|None|480042|1|48|2017|
0|None|480044|1|48|2017|
0|None|480045|1|48|2017|
0|None|480046|1|48|2017|
0|None|480046|2|48|2017|
0|None|480047|1|48|2017|
0|None|480048|1|48|2017|
0|None|480048|2|48|2017|
0|None|480049|1|48|2017|
0|None|480050|1|48|2017|
0|None|480051|1|48|2017|
0|None|480051|2|48|2017|
0|None|480052|1|48|2017|
0|None|480053|1|48|2017|
9|Other Lights|480054|1|48|2017|
97|Other|480054|1|48|2017|
0|None|480054|2|48|2017|
0|None|480055|1|48|2017|
0|None|480055|2|48|2017|
0|None|480056|1|48|2017|
0|None|480057|1|48|2017|
0|None|480058|1|48|2017|
0|None|480059|1|48|2017|
0|None|480059|2|48|2017|
0|None|480061|1|48|2017|
0|None|480061|2|48|2017|
0|None|480062|1|48|2017|
0|None|480062|2|48|2017|
0|None|480063|1|48|2017|
0|None|480064|1|48|2017|
0|None|480065|1|48|2017|
0|None|480065|2|48|2017|
0|None|480066|1|48|2017|
0|None|480067|1|48|2017|
0|None|480067|2|48|2017|
0|None|480069|1|48|2017|
0|None|480069|2|48|2017|
0|None|480070|1|48|2017|
0|None|480071|1|48|2017|
0|None|480072|1|48|2017|
0|None|480073|1|48|2017|
0|None|480073|2|48|2017|
0|None|480074|1|48|2017|
0|None|480074|2|48|2017|
0|None|480075|1|48|2017|
0|None|480076|1|48|2017|
0|None|480077|1|48|2017|
0|None|480078|1|48|2017|
0|None|480079|1|48|2017|
0|None|480079|2|48|2017|
2|Brake System|480080|1|48|2017|
7|Head Lights|480080|1|48|2017|
99|Unknown|480081|1|48|2017|
0|None|480082|1|48|2017|
0|None|480082|2|48|2017|
0|None|480083|1|48|2017|
0|None|480084|1|48|2017|
0|None|480085|1|48|2017|
0|None|480085|2|48|2017|
0|None|480086|1|48|2017|
0|None|480086|2|48|2017|
0|None|480087|1|48|2017|
0|None|480087|2|48|2017|
0|None|480087|3|48|2017|
0|None|480088|1|48|2017|
0|None|480088|2|48|2017|
0|None|480089|1|48|2017|
0|None|480089|2|48|2017|
0|None|480090|1|48|2017|
0|None|480090|2|48|2017|
0|None|480091|1|48|2017|
1|Tires|480092|1|48|2017|
0|None|480093|1|48|2017|
0|None|480093|2|48|2017|
0|None|480094|1|48|2017|
0|None|480095|1|48|2017|
0|None|480096|1|48|2017|
1|Tires|480097|1|48|2017|
0|None|480097|2|48|2017|
0|None|480098|1|48|2017|
0|None|480098|2|48|2017|
0|None|480098|3|48|2017|
0|None|480099|1|48|2017|
0|None|480100|1|48|2017|
0|None|480101|1|48|2017|
0|None|480102|1|48|2017|
0|None|480102|2|48|2017|
0|None|480104|1|48|2017|
0|None|480104|2|48|2017|
0|None|480105|1|48|2017|
0|None|480105|2|48|2017|
0|None|480106|1|48|2017|
0|None|480106|2|48|2017|
0|None|480107|1|48|2017|
0|None|480107|2|48|2017|
0|None|480108|1|48|2017|
0|None|480108|2|48|2017|
0|None|480108|3|48|2017|
0|None|480109|1|48|2017|
0|None|480109|2|48|2017|
0|None|480110|1|48|2017|
0|None|480110|2|48|2017|
0|None|480110|3|48|2017|
0|None|480110|4|48|2017|
0|None|480110|5|48|2017|
0|None|480111|1|48|2017|
0|None|480111|2|48|2017|
0|None|480112|1|48|2017|
0|None|480113|1|48|2017|
0|None|480114|1|48|2017|
0|None|480114|2|48|2017|
0|None|480115|1|48|2017|
0|None|480115|2|48|2017|
0|None|480117|1|48|2017|
0|None|480118|1|48|2017|
0|None|480118|2|48|2017|
0|None|480119|1|48|2017|
0|None|480120|1|48|2017|
0|None|480121|1|48|2017|
0|None|480122|1|48|2017|
0|None|480122|2|48|2017|
0|None|480123|1|48|2017|
0|None|480123|2|48|2017|
0|None|480124|1|48|2017|
1|Tires|480124|2|48|2017|
0|None|480125|1|48|2017|
0|None|480125|3|48|2017|
0|None|480126|1|48|2017|
0|None|480126|2|48|2017|
0|None|480127|1|48|2017|
0|None|480128|1|48|2017|
0|None|480129|1|48|2017|
0|None|480130|1|48|2017|
0|None|480130|2|48|2017|
0|None|480130|3|48|2017|
0|None|480131|1|48|2017|
0|None|480132|1|48|2017|
0|None|480132|2|48|2017|
0|None|480132|3|48|2017|
0|None|480133|1|48|2017|
0|None|480133|2|48|2017|
0|None|480134|1|48|2017|
0|None|480135|1|48|2017|
99|Unknown|480136|1|48|2017|
0|None|480137|1|48|2017|
0|None|480138|1|48|2017|
0|None|480138|2|48|2017|
0|None|480139|1|48|2017|
0|None|480139|2|48|2017|
99|Unknown|480140|1|48|2017|
0|None|480141|1|48|2017|
0|None|480141|2|48|2017|
0|None|480142|1|48|2017|
0|None|480142|2|48|2017|
0|None|480143|1|48|2017|
0|None|480144|1|48|2017|
0|None|480145|1|48|2017|
0|None|480145|2|48|2017|
0|None|480146|1|48|2017|
0|None|480147|1|48|2017|
0|None|480148|1|48|2017|
0|None|480149|1|48|2017|
0|None|480149|2|48|2017|
0|None|480150|1|48|2017|
0|None|480150|2|48|2017|
0|None|480151|1|48|2017|
0|None|480152|1|48|2017|
0|None|480153|1|48|2017|
0|None|480153|2|48|2017|
0|None|480153|3|48|2017|
0|None|480153|4|48|2017|
0|None|480153|5|48|2017|
0|None|480154|1|48|2017|
0|None|480154|2|48|2017|
0|None|480155|1|48|2017|
0|None|480156|1|48|2017|
0|None|480156|2|48|2017|
0|None|480156|3|48|2017|
0|None|480156|4|48|2017|
0|None|480157|1|48|2017|
0|None|480158|1|48|2017|
0|None|480159|1|48|2017|
0|None|480160|1|48|2017|
0|None|480161|1|48|2017|
0|None|480162|1|48|2017|
0|None|480162|2|48|2017|
0|None|480163|1|48|2017|
0|None|480163|2|48|2017|
0|None|480164|1|48|2017|
0|None|480165|1|48|2017|
0|None|480166|1|48|2017|
0|None|480167|1|48|2017|
0|None|480167|2|48|2017|
0|None|480168|1|48|2017|
0|None|480169|1|48|2017|
0|None|480170|1|48|2017|
0|None|480170|2|48|2017|
0|None|480171|1|48|2017|
0|None|480171|2|48|2017|
0|None|480172|1|48|2017|
0|None|480173|1|48|2017|
0|None|480173|2|48|2017|
0|None|480174|1|48|2017|
0|None|480175|1|48|2017|
1|Tires|480176|1|48|2017|
0|None|480177|1|48|2017|
0|None|480178|1|48|2017|
0|None|480178|2|48|2017|
0|None|480178|3|48|2017|
0|None|480179|1|48|2017|
0|None|480180|1|48|2017|
0|None|480180|2|48|2017|
0|None|480181|1|48|2017|
0|None|480181|2|48|2017|
0|None|480182|1|48|2017|
0|None|480182|2|48|2017|
0|None|480183|1|48|2017|
0|None|480184|1|48|2017|
0|None|480185|1|48|2017|
0|None|480185|2|48|2017|
0|None|480186|1|48|2017|
0|None|480186|2|48|2017|
0|None|480186|3|48|2017|
